學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,一年級總計,二年級男生,二年級女生,二年級總計,三年級男生,三年級女生,三年級總計,四年級男生,四年級女生,四年級總計,五年級男生,五年級女生,五年級總計,六年級男生,六年級女生,六年級總計,七年級男生,七年級女生,七年級總計,延修生男生,延修生女生,延修生總計,縣市名稱,體系別
1,國立政治大學,1111001,教育學系,D 日,D 博士,101,45,56,8,9,17,9,11,20,13,11,24,5,9,14,3,6,9,2,4,6,5,6,11, -, -,0,30 臺北市,1 一般
1,國立政治大學,1111001,教育學系,D 日,M 碩士,39,15,24,8,8,16,1,6,7,4,8,12,2,2,4, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,1111001,教育學系,D 日,B 學士,218,78,140,19,36,55,16,33,49,18,27,45,18,29,47, -, -,0, -, -,0, -, -,0,7,15,22,30 臺北市,1 一般
1,國立政治大學,1114005,教育行政與政策研究所,D 日,M 碩士,48,14,34,3,10,13,6,10,16,2,8,10,3,6,9, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,1114006,學校行政碩士在職專班,N 職,M 碩士,80,28,52,7,16,23,9,17,26,8,10,18,1,7,8,3,2,5, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,1121004,幼兒教育研究所,D 日,M 碩士,54,5,49,3,11,14, -,14,14,2,14,16, -,10,10, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2211019,宗教研究所,D 日,D 博士,27,15,12,2,1,3,2,3,5,4,1,5,4,1,5, -,1,1,1,2,3,2,3,5, -, -,0,30 臺北市,1 一般
1,國立政治大學,2211019,宗教研究所,D 日,M 碩士,26,12,14,5,3,8,2,2,4,2,5,7,3,4,7, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2221020,歷史學系,D 日,D 博士,25,18,7,5,1,6,2, -,2,2,1,3,2, -,2,2,2,4,4,1,5,1,2,3, -, -,0,30 臺北市,1 一般
1,國立政治大學,2221020,歷史學系,D 日,M 碩士,58,45,13,10,1,11,9,4,13,13,3,16,12,5,17,1, -,1, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2221020,歷史學系,D 日,B 學士,173,92,81,20,27,47,22,21,43,22,13,35,18,14,32, -, -,0, -, -,0, -, -,0,10,6,16,30 臺北市,1 一般
1,國立政治大學,2221021,台灣史研究所,D 日,D 博士,19,12,7, -,3,3,2,1,3,3,1,4, -,1,1,1, -,1,4,1,5,2, -,2, -, -,0,30 臺北市,1 一般
1,國立政治大學,2221021,台灣史研究所,D 日,M 碩士,54,36,18,8,6,14,7,4,11,10,5,15,11,3,14, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2222031,民族學系,D 日,D 博士,18,7,11, -,2,2,1,1,2, -,2,2, -, -,0,3,1,4,1,2,3,2,3,5, -, -,0,30 臺北市,1 一般
1,國立政治大學,2222031,民族學系,D 日,M 碩士,19,10,9,4,1,5,4,3,7, -,3,3,2,2,4, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2222031,民族學系,D 日,B 學士,180,80,100,25,22,47,18,22,40,12,27,39,14,22,36, -, -,0, -, -,0, -, -,0,11,7,18,30 臺北市,1 一般
1,國立政治大學,2231022,哲學系,D 日,D 博士,30,21,9,4,1,5,3,2,5,1,1,2,2,2,4,4, -,4,3, -,3,4,3,7, -, -,0,30 臺北市,1 一般
1,國立政治大學,2231022,哲學系,D 日,M 碩士,48,35,13,10,5,15,7,4,11,11, -,11,7,4,11, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2231022,哲學系,D 日,B 學士,190,104,86,22,29,51,30,20,50,20,14,34,24,13,37, -, -,0, -, -,0, -, -,0,8,10,18,30 臺北市,1 一般
1,國立政治大學,2311009,英國語文學系,D 日,D 博士,25,11,14, -,2,2,6, -,6,1,1,2,1,5,6,1,1,2, -,4,4,2,1,3, -, -,0,30 臺北市,1 一般
1,國立政治大學,2311009,英國語文學系,D 日,M 碩士,70,15,55,4,16,20,5,17,22,3,16,19,3,6,9, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2311009,英國語文學系,D 日,B 學士,272,75,197,19,43,62,18,41,59,17,40,57,13,52,65, -, -,0, -, -,0, -, -,0,8,21,29,30 臺北市,1 一般
1,國立政治大學,2311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,28,5,23, -, -,0,1,15,16,1, -,1,2,6,8,1,2,3, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2311011,日本語文學系,D 日,M 碩士,22,8,14,2,4,6,2,6,8,3,2,5,1,2,3, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2311011,日本語文學系,D 日,B 學士,187,45,142,6,34,40,8,30,38,11,30,41,10,28,38, -, -,0, -, -,0, -, -,0,10,20,30,30 臺北市,1 一般
1,國立政治大學,2311012,阿拉伯語文學系,D 日,B 學士,164,60,104,15,25,40,12,22,34,10,23,33,15,24,39, -, -,0, -, -,0, -, -,0,8,10,18,30 臺北市,1 一般
1,國立政治大學,2311014,韓國語文學系,D 日,M 碩士,23, -,23, -,7,7, -,5,5, -,8,8, -,3,3, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2311014,韓國語文學系,D 日,B 學士,144,21,123,3,28,31,5,31,36,6,25,31,5,27,32, -, -,0, -, -,0, -, -,0,2,12,14,30 臺北市,1 一般
1,國立政治大學,2311015,土耳其語文學系,D 日,B 學士,115,28,87,10,20,30,4,20,24,3,25,28,6,15,21, -, -,0, -, -,0, -, -,0,5,7,12,30 臺北市,1 一般
1,國立政治大學,2311016,歐洲語文學系,D 日,B 學士,274,51,223,13,48,61,11,49,60,6,43,49,12,50,62, -, -,0, -, -,0, -, -,0,9,33,42,30 臺北市,1 一般
1,國立政治大學,2311017,斯拉夫語文學系,D 日,M 碩士,13,4,9, -,4,4,1,4,5,2, -,2,1,1,2, -, -,0, -, -,0, -, -,0, -, -,0,30 臺北市,1 一般
1,國立政治大學,2311017,斯拉夫語文學系,D 日,B 學士,213,48,165,11,37,48,10,35,45,6,33,39,14,32,46, -, -,0, -, -,0, -, -,0,7,28,35,30 臺北市,1 一般
1,國立政治大學,2311087,東南亞語言與文化學士學位學程,D 日,B 學士,125,39,86,16,36,52,12,25,37,6,14,20,2,10,12, -, -,0, -, -,0, -, -,0,3,1,4,30 臺北市,1 一般
1,國立政治大學,2321007,台灣文學研究所,D 日,D 博士,9,4,5,1,2,3, -,1,1, -, -,0,1, -,1,1, -,1, -,1,1,1,1,2, -, -,0,30 臺北市,1 一般
