年度,地區別,月投保薪資等級,投保人數
2022,宜蘭縣,25250,82681
2022,宜蘭縣,26400,3470
2022,宜蘭縣,27600,4415
2022,宜蘭縣,28800,3755
2022,宜蘭縣,30300,7071
2022,宜蘭縣,31800,3131
2022,宜蘭縣,33300,4102
2022,宜蘭縣,34800,5246
2022,宜蘭縣,36300,4065
2022,宜蘭縣,38200,6017
2022,宜蘭縣,40100,3431
2022,宜蘭縣,42000,2236
2022,宜蘭縣,43900,5045
2022,宜蘭縣,45800,14870
2022,宜蘭縣,48200,1689
2022,宜蘭縣,50600,1503
2022,宜蘭縣,53000,1255
2022,宜蘭縣,55400,994
2022,宜蘭縣,57800,830
2022,宜蘭縣,60800,860
2022,宜蘭縣,63800,771
2022,宜蘭縣,66800,593
2022,宜蘭縣,69800,526
2022,宜蘭縣,72800,5104
2022,花蓮縣,25250,45724
2022,花蓮縣,26400,2601
2022,花蓮縣,27600,2827
2022,花蓮縣,28800,2507
2022,花蓮縣,30300,4880
2022,花蓮縣,31800,1953
2022,花蓮縣,33300,2834
2022,花蓮縣,34800,3380
2022,花蓮縣,36300,2133
2022,花蓮縣,38200,3684
2022,花蓮縣,40100,2190
2022,花蓮縣,42000,1837
2022,花蓮縣,43900,2829
2022,花蓮縣,45800,5316
2022,花蓮縣,48200,1289
2022,花蓮縣,50600,1229
2022,花蓮縣,53000,914
2022,花蓮縣,55400,782
2022,花蓮縣,57800,728
2022,花蓮縣,60800,654
2022,花蓮縣,63800,549
2022,花蓮縣,66800,455
2022,花蓮縣,69800,353
2022,花蓮縣,72800,4544
2022,金門縣,25250,10061
2022,金門縣,26400,360
2022,金門縣,27600,220
2022,金門縣,28800,665
2022,金門縣,30300,817
2022,金門縣,31800,863
2022,金門縣,33300,511
2022,金門縣,34800,654
2022,金門縣,36300,1199
2022,金門縣,38200,246
2022,金門縣,40100,682
2022,金門縣,42000,189
2022,金門縣,43900,254
2022,金門縣,45800,2095
2022,金門縣,48200,317
2022,金門縣,50600,354
2022,金門縣,53000,329
2022,金門縣,55400,282
2022,金門縣,57800,183
2022,金門縣,60800,295
2022,金門縣,63800,222
2022,金門縣,66800,107
2022,金門縣,69800,91
2022,金門縣,72800,1092
2022,南投縣,25250,67157
2022,南投縣,26400,3529
2022,南投縣,27600,4092
2022,南投縣,28800,3625
2022,南投縣,30300,6729
2022,南投縣,31800,3337
2022,南投縣,33300,3809
2022,南投縣,34800,4988
2022,南投縣,36300,3746
2022,南投縣,38200,5268
2022,南投縣,40100,3588
2022,南投縣,42000,2783
2022,南投縣,43900,3854
2022,南投縣,45800,9987
2022,南投縣,48200,1750
2022,南投縣,50600,1397
2022,南投縣,53000,1183
2022,南投縣,55400,925
2022,南投縣,57800,795
2022,南投縣,60800,774
2022,南投縣,63800,736
2022,南投縣,66800,562
2022,南投縣,69800,439
2022,南投縣,72800,6006
2022,屏東縣,25250,117731
2022,屏東縣,26400,6099
2022,屏東縣,27600,8827
2022,屏東縣,28800,6075
2022,屏東縣,30300,10528
2022,屏東縣,31800,4758
2022,屏東縣,33300,5350
2022,屏東縣,34800,7344
2022,屏東縣,36300,8034
2022,屏東縣,38200,7805
2022,屏東縣,40100,4428
2022,屏東縣,42000,3196
2022,屏東縣,43900,5429
2022,屏東縣,45800,13232
2022,屏東縣,48200,1814
2022,屏東縣,50600,1509
2022,屏東縣,53000,1203
2022,屏東縣,55400,1055
2022,屏東縣,57800,949
2022,屏東縣,60800,946
2022,屏東縣,63800,762
2022,屏東縣,66800,556
2022,屏東縣,69800,433
2022,屏東縣,72800,7082
2022,苗栗縣,25250,67932
2022,苗栗縣,26400,4409
2022,苗栗縣,27600,4561
2022,苗栗縣,28800,4583
2022,苗栗縣,30300,7391
2022,苗栗縣,31800,4018
2022,苗栗縣,33300,4792
2022,苗栗縣,34800,5527
2022,苗栗縣,36300,5282
2022,苗栗縣,38200,6165
2022,苗栗縣,40100,4790
2022,苗栗縣,42000,3866
2022,苗栗縣,43900,5079
2022,苗栗縣,45800,10198
2022,苗栗縣,48200,3008
2022,苗栗縣,50600,2612
2022,苗栗縣,53000,2269
2022,苗栗縣,55400,1909
2022,苗栗縣,57800,1683
2022,苗栗縣,60800,1849
2022,苗栗縣,63800,1448
2022,苗栗縣,66800,1341
2022,苗栗縣,69800,962
2022,苗栗縣,72800,11192
2022,桃園市,25250,354021
2022,桃園市,26400,26167
2022,桃園市,27600,25666
2022,桃園市,28800,27310
2022,桃園市,30300,42864
2022,桃園市,31800,25766
2022,桃園市,33300,31881
2022,桃園市,34800,33049
2022,桃園市,36300,32107
2022,桃園市,38200,34956
2022,桃園市,40100,32390
2022,桃園市,42000,26564
2022,桃園市,43900,28450
2022,桃園市,45800,57176
2022,桃園市,48200,23165
2022,桃園市,50600,21191
2022,桃園市,53000,18232
2022,桃園市,55400,16372
2022,桃園市,57800,14481
2022,桃園市,60800,16796
2022,桃園市,63800,14339
2022,桃園市,66800,12859
2022,桃園市,69800,11092
2022,桃園市,72800,109137
2022,高雄市,25250,492336
2022,高雄市,26400,34271
2022,高雄市,27600,36939
2022,高雄市,28800,33893
2022,高雄市,30300,55876
2022,高雄市,31800,27428
2022,高雄市,33300,34223
2022,高雄市,34800,39556
2022,高雄市,36300,34268
2022,高雄市,38200,39118
2022,高雄市,40100,29331
2022,高雄市,42000,23526
2022,高雄市,43900,31109
